,0
GMS_pds_l40_dw,6.2206448764777935
DOW_num,1.430167638653813
AWL,1.3804742042145863
Words,0.8869276452987379
GMS_per_constr_avg_past_diff_from_RPB,0.7790787700846563
Wordplay,0.46826150008186046
Open_Squares,0.33523187538798915
Shade_Count,0.2051216362298469
Circle_Count,0.20003639712677873
Blocks,0.05977732625267826
Cross_Ref_Clues,0.025971877644272206
Cheater_Squares,-0.11089228403937058
GMS_npds_prior_solves_ct,-0.2731289297180525
GMS_pds_prior_solves_ct,-0.2777447730721834
GMS_pds_l40_stdev,-1.4822259648790197
